mean_ndvi,month,year,annual_mean_ndvi
0.0,6,2009,0.0
0.0,7,2009,0.0
0.0,8,2009,0.0
0.0,9,2009,0.0
0.0,10,2009,0.0
0.0,11,2009,0.0
0.0,12,2009,0.0
0.0,1,2010,0.0
0.0,2,2010,0.0
0.0,3,2010,0.0
0.0,4,2010,0.0
0.0,5,2010,0.0
0.0,6,2010,0.0
0.0,7,2010,0.0
0.0,8,2010,0.0
0.0,9,2010,0.0
0.0,10,2010,0.0
0.0,11,2010,0.0
0.0,12,2010,0.0
0.0,1,2011,0.0
0.0,2,2011,0.0
0.0,3,2011,0.0
0.0,4,2011,0.0
0.0,5,2011,0.0
0.0,6,2011,0.0
0.0,7,2011,0.0
0.0,8,2011,0.0
0.0,9,2011,0.0
0.0,10,2011,0.0
0.0,11,2011,0.0
0.0,12,2011,0.0
0.0,1,2012,0.0
0.0,2,2012,0.0
0.0,3,2012,0.0
0.0,4,2012,0.0
0.0,5,2012,0.0
0.0,6,2012,0.0
0.0,7,2012,0.0
0.0,8,2012,0.0
0.0,9,2012,0.0
0.0,10,2012,0.0
0.0,11,2012,0.0
0.0,12,2012,0.0
0.0,1,2013,0.042828099452890456
0.0,2,2013,0.042828099452890456
0.168381929397583,3,2013,0.042828099452890456
0.14241419732570648,4,2013,0.042828099452890456
0.05600784346461296,5,2013,0.042828099452890456
0.012472367845475674,6,2013,0.042828099452890456
0.004495399538427591,7,2013,0.042828099452890456
0.02081081084907055,8,2013,0.042828099452890456
0.07249331474304199,9,2013,0.042828099452890456
0.03686133027076721,10,2013,0.042828099452890456
0.0,11,2013,0.042828099452890456
0.0,12,2013,0.042828099452890456
0.1882161647081375,1,2014,0.06925398398501177
0.07771869003772736,2,2014,0.06925398398501177
0.056169506162405014,3,2014,0.06925398398501177
0.1364985555410385,4,2014,0.06925398398501177
0.085211381316185,5,2014,0.06925398398501177
0.009014195762574673,6,2014,0.06925398398501177
0.0033868253231048584,7,2014,0.06925398398501177
0.017294740304350853,8,2014,0.06925398398501177
0.06039919704198837,9,2014,0.06925398398501177
0.029429055750370026,10,2014,0.06925398398501177
0.04103126749396324,11,2014,0.06925398398501177
0.1266782283782959,12,2014,0.06925398398501177
0.07760455459356308,1,2015,0.051384158354873456
0.09790204465389252,2,2015,0.051384158354873456
0.0424158051609993,3,2015,0.051384158354873456
0.08256398886442184,4,2015,0.051384158354873456
0.0693577453494072,5,2015,0.051384158354873456
0.026469629257917404,6,2015,0.051384158354873456
0.009020861238241196,7,2015,0.051384158354873456
0.014080590568482876,8,2015,0.051384158354873456
0.04473596811294556,9,2015,0.051384158354873456
0.03972122445702553,10,2015,0.051384158354873456
0.05571224167943001,11,2015,0.051384158354873456
0.057025246322155,12,2015,0.051384158354873456
0.03263191878795624,1,2016,0.04961333377286792
0.023077428340911865,2,2016,0.04961333377286792
0.042728912085294724,3,2016,0.04961333377286792
0.03591904416680336,4,2016,0.04961333377286792
0.0392373763024807,5,2016,0.04961333377286792
0.03276810050010681,6,2016,0.04961333377286792
0.01121273823082447,7,2016,0.04961333377286792
0.032777149230241776,8,2016,0.04961333377286792
0.06203852593898773,9,2016,0.04961333377286792
0.09389817714691162,10,2016,0.04961333377286792
0.08746667206287384,11,2016,0.04961333377286792
0.10160396248102188,12,2016,0.04961333377286792
0.09612168371677399,1,2017,0.04946516267955303
0.02959461323916912,2,2017,0.04946516267955303
0.11975650489330292,3,2017,0.04946516267955303
0.10215889662504196,4,2017,0.04946516267955303
0.020228805020451546,5,2017,0.04946516267955303
0.015552223660051823,6,2017,0.04946516267955303
0.013224269263446331,7,2017,0.04946516267955303
0.02055356837809086,8,2017,0.04946516267955303
0.03596695885062218,9,2017,0.04946516267955303
0.04193057492375374,10,2017,0.04946516267955303
0.02919730730354786,11,2017,0.04946516267955303
0.06929654628038406,12,2017,0.04946516267955303
0.06632355600595474,1,2018,0.05946232844144106
0.08324702084064484,2,2018,0.05946232844144106
0.16753092408180237,3,2018,0.05946232844144106
0.06921551376581192,4,2018,0.05946232844144106
0.02324824407696724,5,2018,0.05946232844144106
0.054452091455459595,6,2018,0.05946232844144106
0.01606163941323757,7,2018,0.05946232844144106
0.02372267283499241,8,2018,0.05946232844144106
0.04736749455332756,9,2018,0.05946232844144106
0.04372896999120712,10,2018,0.05946232844144106
0.0693235993385315,11,2018,0.05946232844144106
0.04932621493935585,12,2018,0.05946232844144106
0.09437764436006546,1,2019,0.06546671704078715
0.03548036143183708,2,2019,0.06546671704078715
0.10829007625579834,3,2019,0.06546671704078715
0.06510946899652481,4,2019,0.06546671704078715
0.0920376107096672,5,2019,0.06546671704078715
0.02990960143506527,6,2019,0.06546671704078715
0.014913666993379593,7,2019,0.06546671704078715
0.05302746593952179,8,2019,0.06546671704078715
0.035704370588064194,9,2019,0.06546671704078715
0.09040564298629761,10,2019,0.06546671704078715
0.0688558965921402,11,2019,0.06546671704078715
0.09748879820108414,12,2019,0.06546671704078715
-0.017803313210606575,1,2020,0.055354663636535406
0.11277047544717789,2,2020,0.055354663636535406
0.0646745041012764,3,2020,0.055354663636535406
0.10195698589086533,4,2020,0.055354663636535406
0.055915046483278275,5,2020,0.055354663636535406
0.03403473645448685,6,2020,0.055354663636535406
0.030918482691049576,7,2020,0.055354663636535406
0.03145720437169075,8,2020,0.055354663636535406
0.036422211676836014,9,2020,0.055354663636535406
0.061392612755298615,10,2020,0.055354663636535406
0.1019837036728859,11,2020,0.055354663636535406
0.05053331330418587,12,2020,0.055354663636535406
0.05166710913181305,1,2021,0.08372009235123794
0.15062741935253143,2,2021,0.08372009235123794
0.14115139842033386,3,2021,0.08372009235123794
0.08708541095256805,4,2021,0.08372009235123794
0.04176635667681694,5,2021,0.08372009235123794
0.033449724316596985,6,2021,0.08372009235123794
0.029551148414611816,7,2021,0.08372009235123794
0.034662213176488876,8,2021,0.08372009235123794
0.07488241791725159,9,2021,0.08372009235123794
0.049810804426670074,10,2021,0.08372009235123794
0.0911731943488121,11,2021,0.08372009235123794
0.2188139110803604,12,2021,0.08372009235123794
0.03606928884983063,1,2022,0.06199935730546713
0.07754635065793991,2,2022,0.06199935730546713
0.10490593314170837,3,2022,0.06199935730546713
0.06720373779535294,4,2022,0.06199935730546713
0.0542982816696167,5,2022,0.06199935730546713
0.03884061425924301,6,2022,0.06199935730546713
0.04080241918563843,7,2022,0.06199935730546713
0.046224445104599,8,2022,0.06199935730546713
0.05722663924098015,9,2022,0.06199935730546713
0.06415627896785736,10,2022,0.06199935730546713
0.07684070616960526,11,2022,0.06199935730546713
0.0798775926232338,12,2022,0.06199935730546713
0.09390702098608017,1,2023,0.07299833837896585
0.09269586205482483,2,2023,0.07299833837896585
0.11556600779294968,3,2023,0.07299833837896585
0.11754997074604034,4,2023,0.07299833837896585
0.08145494014024734,5,2023,0.07299833837896585
0.038765326142311096,6,2023,0.07299833837896585
0.04752908647060394,7,2023,0.07299833837896585
0.03987012058496475,8,2023,0.07299833837896585
0.060659315437078476,9,2023,0.07299833837896585
0.03827600181102753,10,2023,0.07299833837896585
0.046527691185474396,11,2023,0.07299833837896585
0.1031787171959877,12,2023,0.07299833837896585
0.04742422327399254,1,2024,0.05611957920094331
0.047742847353219986,2,2024,0.05611957920094331
0.09988202154636383,3,2024,0.05611957920094331
0.04451759532094002,4,2024,0.05611957920094331
0.04539952427148819,5,2024,0.05611957920094331
0.060068078339099884,6,2024,0.05611957920094331
0.03560490533709526,7,2024,0.05611957920094331
0.03681314364075661,8,2024,0.05611957920094331
0.0719035267829895,9,2024,0.05611957920094331
0.05902500078082085,10,2024,0.05611957920094331
0.056022174656391144,11,2024,0.05611957920094331
0.06903190910816193,12,2024,0.05611957920094331
0.06248210370540619,1,2025,0.07291442900896072
0.04455966502428055,2,2025,0.07291442900896072
0.11170151829719543,3,2025,0.07291442900896072
